Date,News,Score,Binary Score
2/15/2010 0:00,"Square Pharmaceuticals had retained the top position with its local sales figure reaching Tk 10.70 billion in 2009 in the country's Tk 55.0 billion pharmaceutical market followed by Incepta Pharma, according to IMS data released a few days back. Industry insiders said Square Pharmaceuticals had retained the number one position in local sales for its better market penetration and good product basket.",5,1
2/18/2010 0:00,"Dhaka stocks posted the sharpest rise, helping the benchmark index of the country's premier bourse to cross the highest ever 5,800-mark for the first time because of the rising Grameenphone (GP) shares.",5,1
2/18/2010 0:00,Merchant bankers suspended the margin loan facility against Grameenphone shares with effect as its price-earning (PE) ratio crossed 50.,2,0
2/19/2010 0:00,"Dhaka stocks fell more than one per cent after the securities regulator ordered cash trading of Grameenphone and Marico shares in a desperate bid to rein in spiraling prices of the multinational companies. The market lost 176 points -- or more than three per cent -- in the first hour as news filtered that the Securities and Exchange Commission placed the two heavyweight shares in the 'spot market', meaning their stocks then only be sold or bought by cash.",2,0
2/21/2010 0:00,Grameenphone Ltd remained the top market capitalisation leader on Dhaka Stock Exchange (DSE) since its debut trading in November last amid buying enthusiasm both from retail and institutional investors.,4,1
2/21/2010 0:00,GP grabbed the top position outnumbering ICB and Titas Gas in the race.,4,1
2/25/2010 0:00,"Dhaka stocks bounced back, driven by Grameenphone (GP), breaking the three straight sessions fall due to price correction.",3,1
2/25/2010 0:00,The private telecom giant Grameenphone (GP) claimed that it submitted its unaudited fourth quarter report to the Securities and Exchange Commission (SEC) with prior consultation with the securities regulator.,3,1
3/1/2010 0:00,"A committee probing ""abnormal price hike"" of Grameenphone shares in the country's two stock exchanges had sought more time to complete its investigation.",2,0
3/5/2010 0:00,The Bangladesh Railway (BR) initiated an innovative service to allow its commuters to reserve train tickets 10 days in advance over their mobile phone through Grameenphone's 'Mobitaka' service.,4,1
3/12/2010 0:00,"Drug makers finished flat (+0.08 per cent). Square Pharma, Beximco Pharma and ACI were among the losers while Renata, Reckitt Benckiser, Marico and GlaxoSmithKline were among the gainers.",2,0
3/15/2010 0:00,"Leading telecom service provider Grameenphone unleashed three whole new ranges of price packages named Shohoj, Aapon and Bondhu for its pre-paid customers along with a new price plan for its trademark djuice product in the market.",5,1
3/19/2010 0:00,Dhaka Stocks lost nearly one percent as market heavyweights Grameenphone and banks slid despite trading got a big fillip following loosening of credits by the securities regulator.,2,0
3/19/2010 0:00,Grameenphone declined 4.15 percent as investors dumped the market's largest capped shares on speculation that the company would recommend lesser-than-expected dividend in its crucial board meeting.,1,0
3/19/2010 0:00,"The pharmaceuticals sector rose 0.90 percent with Renata going up by 1.92, Beximco Pharma 2.19 percent and the country's largest medicine manufacturer Square Pharmaceuticals 0.25 percent .",4,1
3/20/2010 0:00,Grameenphone (GP) board had recommended 60 per cent cash dividend for its shareholders for the year 2009. The recommendation came at a board meeting of the GP held in Bangkok.,3,1
3/22/2010 0:00,"Dhaka stocks posted its second biggest single-day gain in history after market heavyweight Grameenphone lifted investors morale by declaring a better-than-expected dividend. The country's telecom giant and largest listed issue that made up nearly one-fifth of Dhaka Stock Exchange's market capitalisation, climbed 8.75 per cent to Tk341.80 after its board had recommended a 60 per cent dividend.",3,1
3/23/2010 0:00,"Square Pharmaceuticals Ltd hosted the visit of a 27-member team from the Yale School of Management, one of the premier business schools in the world under the globally renowned Yale University, at its state-of-the-art UK MHRA approved Dhaka plant. The visiting members were all graduating MBA students coming from diverse specialties ranging from medical sciences, economics, finance to general management, marketing and international development.",5,1
3/30/2010 0:00,"The committee, formed by the securities regulator to probe into the unusual rise in the price of shares of the country's giant telecom operator Grameenphone (GP) in the last week of January, submitted its report.",4,1
3/31/2010 0:00,"Square Pharmaceuticals Ltd hosted the visit of a 27-member team from the Yale School of Management, one of the premier business schools in the world under the globally renowned Yale University, at its state-of-the-art UK MHRA approved Dhaka plant. The visiting members were all graduating MBA students coming from diverse specialties ranging from medical sciences, economics, finance to general management, marketing and international development.",3,1
4/1/2010 0:00,"Dhaka stocks rallied amid choppy trading, driven by the market heavyweights--Grameenphone and the banking issues. The benchmark index of Dhaka Stock Exchange (DSE) closed at 5,582.33 with a gain of 48.71 points or 0.88 per cent on the day.",4,1
4/2/2010 0:00,"Pharmaceuticals sector finished flat with Square Pharma, the country's largest drug maker, slipping 0.15 per cent.",2,0
4/5/2010 0:00,"Dhaka stocks closed, inching up for the fourth consecutive session on Grameenphone despite big losses by banks. The benchmark DSE General Index (DGEN) rose 0.04 per cent or 2.54 points to end at 5596.86, after hitting highest 5613.68 and lowest 5513.68 during a choppy session.",3,1
4/5/2010 0:00,"Square Pharmaceuticals Ltd would incorporate solutions of Italy-based Marchesini into future manufacturing scopes of Square. Marchesini S.p.A., Italy, was the world's largest company for manufacturing of Pharmaceutical Packaging machinery. They had a complete solution for Pharmaceutical Packaging with having a wide range of 450 different models of machines.",4,1
4/16/2010 0:00,"Dhaka stocks slid for the fourth consecutive day as the key index declined to the lowest in four weeks, dragged down by Grameenphone despite gains in almost all other sectors. The benchmark DSE General Index (DGEN) shed 0.59 per cent or 32.99 points to end at 5489.67 - its lowest since March 18.",2,0
4/27/2010 0:00,"Grameenphone (GP) introduced a special package 'Ekota' to meet the business needs of small organisations. Users of the package was able to stay close to their clients, employees and business contacts through its features and services.",4,1
4/29/2010 0:00,"Square Pharmaceuticals, the country's largest medicine maker, had set up an insulin manufacturing unit in hopes to keep the highly expensive drug within patients' purchasing capacity.",5,1
4/30/2010 0:00,Pharmaceuticals sector went down by 0.20 per cent as most of the companies declined but Square Pharma gained 0.24 per cent.,4,1
5/5/2010 0:00,"Grameenphone Ltd (GP) reported Tk 17 billion revenues for the first quarter of 2010 registering an eight per cent growth from the first quarter of 2009. Total revenues for the quarter increased by about Tk 310 million and 1.8 per cent compared to the fourth quarter of 2009, mainly in voice revenues, due to growth in subscription base. Data revenues also contributed to the consistent revenue growth, increased by 65 per cent and 13 per cent from first quarter and fourth quarter of 2009 respectively.",4,1
5/5/2010 0:00,"Dhaka stocks lost one per cent as heavyweight Grameenphone declined nearly six per cent on its lower-than-expected first quarter earnings.The benchmark DSE General Index (DGEN) seesawed in early trading and closed at 5,534.65 with a drop of 59.14 points or 1.05 per cent.",2,0
5/7/2010 0:00,"Grameenphone (GP), in association with Sight Savers International, organised a free eye camp at Chowddogram Upazilla Health Complex at Chowddogram in Comilla. That was the eighth free eye camp organised jointly by GP and Sight Savers International. Through the camps, which were conducted in rural areas of Bangladesh, Grameenphone provided free eye-care services to the economically disadvantaged people.",5,1
5/20/2010 0:00,Square Pharmaceuticals had become the country's third medicine maker to set up an insulin manufacturing unit in hopes to keep the highly expensive drug within patients' purchasing capacity.,4,1
5/20/2010 0:00,"Square Pharmaceuticals, a listed company that first started exports in 1995, was also eyeing to export insulin products after meeting local demand, said Mr Chowdhury.",4,1
5/20/2010 0:00,Square officials said the leading drug maker would serve diabetics with its new product - Ansulin - at a cost that is 22 percent less than that of the imported ones.,5,1
5/20/2010 0:00,"The company then used to sell medicines in 35 countries namely Afghanistan, Bhutan, Cambodia, Hong Kong, Iraq, Macau, Malaysia, Myanmar, Nepal, Papua New Guinea, Sri Lanka, Tajikistan, the Philippines, Vietnam, Yemen, Comoros Islands, Eritrea, Gambia, Ghana, Kenya, Libya, Malawi, Mauritania, Mauritius, Mozambique, Niger, Rwanda, Sierra Leone, Somalia, Sudan, Tanzania, Belize, Costa Rica and Guatemala.",5,1
5/20/2010 0:00,"Square Pharmaceuticals was an arm of Square Group, which had interests in array of areas such as consumer goods, toiletries, health products, textiles, agro-vet products and information technology with an annual turnover of US$300 million.",4,1
5/20/2010 0:00,"Square Pharmaceuticals was an arm of Square Group, which had interests in array of areas such as consumer goods, toiletries, health products, textiles, agro-vet products and information technology with an annual turnover of US$300 million.",4,1
5/20/2010 0:00,"Three Bangladeshi listed companies would be added to the Frontier Markets Index MSCI (Morgan Stanley Capital Index) Inc, a gauge tracked by global investors in emerging markets, within a week's time. One of them was Square Pharmaceuticals Ltd.",4,1
5/20/2010 0:00,"Square Pharmaceuticals accounted for 2.7 per cent, Beximco 2.07 per cent and Islami Bank 1.89 per cent of the market capitalisation of Dhaka Stock Exchange.",4,1
5/21/2010 0:00,"GrameenPhone (GP) was the most weighted stock in the market. If GP's share increased or fell, the indices did also go up or down.",4,1
5/24/2010 0:00,"Grameenphone Ltd, country's largest mobile phone operator crossed 25 million-mark active subscriber base.",5,1
5/28/2010 0:00,Grameenphone (GP) introduced a new package titled Baadhon with a view to serving the rural people of the country.,5,1
6/4/2010 0:00,Square Pharma and Beximco Pharma edged 0.20 percent and 0.39 percent respectively while Reckitt Benckiser shot up by 6.09 percent.,2,0
6/8/2010 0:00,"The pharmaceutical sector lost 2.26 per cent, as all the big companies lost, including Square Pharma (1.65 percent), Beximco Pharma (2.59 percent), Renata (2.14 percent), Reckitt Benckiser (6.18 percent), Marico (1.96 percent), GlaxoSmithKline (2.53 percent) and ACI (1.27 percent).",1,0
6/10/2010 0:00,Meena Bazar started Flexi load and bill pay services of GrameenPhone at all its outlets for the convenience of the customers.,4,1
6/14/2010 0:00,"Pharmaceuticals sector rallied 1.64 per cent riding on Square Pharmaceuticals, the country's top drug maker, which edged 3.44 per cent higher.",4,1
6/16/2010 0:00,An officer of the Square Pharmaceuticals Ltd was killed at his rented residence of Shalgaria area of Pabna district town. The victim was the assistant depot-in-charge of the Square Pharmaceuticals Ltd.,1,0
6/16/2010 0:00,"Pharmaceuticals was up by 2.62 per cent to come out as top gaining sector as Square pharmaceuticals, the country's top drug maker, edged 4.94 per cent higher on better-than-expected dividend declaration at the end of the month.",5,1
6/20/2010 0:00,"Grameenphone Limited and Microsoft Bangladesh Limited jointly launched mobile application development contest, 'Alo Ashbei' (Light must come) with the aim to attract world's reputed mobile software developers to Bangladesh.",5,1
6/22/2010 0:00,All the drug makers moved down led by multinational Reckitt Benckiser which lost 11.91 percent and Square Pharma 1.67 per cent.,1,0
6/29/2010 0:00,"Pharmaceuticals sector gained 0.18 per cent though the heavyweight companies of the sector lost. Square Pharmaceuticals, the country's top drug maker, dropped 1.17 per cent and its nearest rival Beximco Pharmaceuticals 0.62 per cent.",2,0
6/30/2010 0:00,Grameenphone Ltd. handed over a cheque of BDT 1.5 billion to the Chairman of the National Board of Revenue (NBR) as installment of advance income tax for FY 2009-10.,3,1
6/30/2010 0:00,"Pharmaceuticals sector was down by 0.76 per cent, rebounding previous day's losses, with Square Pharmaceuticals, the country's top drug maker, slipping 1.64 per cent.",1,0
7/1/2010 0:00,"Dhaka stocks declined for the third session in a row in a highly fluctuating market, dragging down by Grameenphone, the most weighted share that fell more than four percent. The benchmark DSE General Index (DGEN) lost 0.30 per cent or 18.86 points to close at 6153.67, after hitting highest 6202 at noon and lowest 6140 just before the close. The broader All Shares Price Index (DSI) was down by 0.35 per cent or 18.20 points to 5111.63. The DSE 20 index comprising blue chip shares ended at 3650.03.",1,0
7/3/2010 0:00,"Profit taking and fall in Grameenphone shares took shines off Dhaka stocks in the shortened week, the last week of just concluded financial year. The benchmark DSE (Dhaka Stock Exchange) General Index (DGEN) closed the week at 6153.68, shedding 0.58 percent or 36.17 points.",2,0
7/19/2010 0:00,"Dhaka stocks bounced back moving up one percent , lifted by Grameenphone that rallied about six per cent on its healthy half-yearly earnings. The benchmark DSE General Index (DGEN) gained 1.05 per cent or 66.50 points to end at 6,375.93, after closing flat in the previous session.",4,1
7/19/2010 0:00,"Grameenphone Ltd reported BDT 35.81 billion revenues for the first half of 2010 with 12pc increase from the first half of 2009. Total revenue for the second quarter of 2010 was BDT 18.77 billion, up by 15pc from the same period of 2009. The growth in revenue was mainly in voice revenues due to subscription growth and revenues from sale of GP branded handsets and data cards. Data revenues also contributed to the consistent revenue growth, increased by 68pc from the first half of 2009.",5,1
7/24/2010 0:00,Square Pharma announced their FY 2009-10 results along with a declaration of 35 percent cash and 30 per cent stock dividend.,3,1
7/25/2010 0:00,"Grameenphone (GP) has included 5.30 million new subscribers in its network in the 2009-10 fiscal, the highest among the country's six mobile operators.",5,1
8/1/2010 0:00,"Square pharmaceuticals Ltd organised an orientation programme on its recently launched insulin preparation brand named 'Ansulin' at a city hotel. Around 500 diabetologists and doctors of Dhaka city attended the programme inaugurated by Tapan Chowdhury, managing director of Square Pharmaceuticals Ltd.",4,1
8/2/2010 0:00,"Dhaka stocks rallied, driven by Grameenphone and banking issues. The benchmark DSE General Index (DGEN) closed at 6436.76 with a rise of 1.48 per cent or 94 points, after rising about one per cent in the previous session. The broader DSE All Shares Price Index (DSI) was up by 1.47 per cent or 78.10 points to close at 5356.99, while DSE 20 comprising blue chips ended at 3772.05 with a gain of 1.48 per cent or 50.27 points.",3,1
8/10/2010 0:00,"In a bid to make efforts of small communication agencies in Bangladesh more meaningful, Grameenphone arranged a day long workshop at a city hotel. The workshop was divided into three sessions including 'Basic Communication Framework', 'Understanding the Consumer and Influence on the Communication' and 'Creating Impactful Design'.",4,1
8/20/2010 0:00,"Pharmaceuticals closed slightly 0.45 per cent higher, led by Square Pharmaceuticals, the country's top drug maker, which gained 0.89 per cent.",4,1
8/25/2010 0:00,"Pharmaceuticals sector ended 1.48 per cent higher, driven by Beximco Pharmaceuticals and Square Pharmaceuticals, which rose 2.7 per cent and 0.84 per cent respectively.",4,1
9/4/2010 0:00,"GrameenPhone launched BlackBerry over three years ago in collaboration with Canada's Research in Motion, RIM, for corporate customers. Since January 2008 GP had sold more than 3000 BlackBerry sets, indicating a slow growth in the high-end smart phone segment.",4,1
9/7/2010 0:00,Grameenphone Ltd signed agreements with three solar power producing companies for purchasing solar power to operate 140 of its off-grid base station sites. Grameenphone was the first telecommunication company in Bangladesh to deploy solar power at a large scale under power purchase agreement.,5,1
9/21/2010 0:00,"Square Pharma, Glaxo and Keya Cosmetics played a big role behind the increase of Pharmaceutical's sector.",4,1
9/30/2010 0:00,"Tapan Chowdhury, Managing Director, Square Pharmaceuticals Ltd and former advisor to the last caretaker government, joined Forbes Global CEO Conference in Sydney, Australia. Mr Tapan attended the conference on invitation where some 400 global CEOs, tycoons, entrepreneurs, up-and-comers, capitalists and thought leaders were also invited.",3,1
10/1/2010 0:00,"The country's largest telecom operator Grameenphone Ltd was going to install environment-friendly solar panels, replacing diesel generator, to power its 140 off-grid base stations in the country's remote corners.",5,1
10/5/2010 0:00,"Investment Corporation of Bangladesh (ICB), state-owned investment bank, shot up by 6.3 per cent and Square Pharmaceuticals - the country's number one pharmaceutical company -- went up by 4.6 per cent.",4,1
10/24/2010 0:00,Grameenphone's revenue grew by 14 per cent during the first nine months ending September 2010 to Tk 55.15 billion.,4,1
11/7/2010 0:00,"Grameenphone and Warid Telecom International Limited signed a landmark agreement on telecom infrastructure sharing and a celebration program was arranged on November 04, 2010 at GPHOUSE. The ceremony was attended by top officials of both companies.",4,1
11/9/2010 0:00,GrameenPhone selected Chinese network equipment provider Huawei Technologies to supply and deploy its SingleCORE and SingleRAN network solutions.,3,1
11/9/2010 0:00,"Dhaka stocks dropped slightly amid volatility, led by heavyweight Grameenphone (GP) that slipped more than three per cent.",2,0
11/22/2010 0:00,"Beximco Limited was the top turnover leader with shares worth Tk 1.30 billion changing hands, followed by NCC Bank and Square Pharma.",4,1
12/28/2010 0:00,"The benchmark index of the Dhaka Stock Exchange (DSE) gained 1.35 percent Monday, led by heavyweight Grameenphone (GP) and non-banking financial institutions (NBFIs).",3,1
1/17/2011 0:00,"Pharmaceuticals sector gained 1.60 per cent, as Square Pharma gained 6.10 per cent alone to emerge as the day's highest gainer.",5,1
1/17/2011 0:00,"Square Pharma was the highest gainer, posting a rise of 6.10 per cent.",5,1
1/19/2011 0:00,The Board of Directors would like to thank Oddvar Hesjedal for his dedication to Grameenphone. Under his leadership the company has strengthened its position as a market leader with close to 30 million subscribers.,4,1
2/11/2011 0:00,"Grameenphone (GP) reported that it had bagged 1.2 million new subscribers for its data product in 2010, with its current internet subscriber base reaching to 2.6 million, making it the largest internet service provider in the country.",5,1
2/15/2011 0:00,"Due to the sell-pressure, the daily turnover stood at Tk 6.63 billion, in value terms-- which were Tk 7.16 billion on the previous day.The top ten, in terms of turnover, included UCBL, NBL, Titas Gas, Beximco, PLFSL, Southeast Bank, GP, Prime Bank, Square Pharma and United Air.",3,1
4/6/2011 0:00,"Grameenphone, the leading telecommunications service provider in Bangladesh, and Opera Software, makers of the Opera web browsers for mobile phones, Tuesday announced the launch of Opera Mini customized for Grameenphone users. The Opera Mini web browser for mobile phones, works on more than 3000 different handsets ranging from basic feature phones to high-end smartphones.",3,1
4/28/2011 0:00,"The Association of Mobile Telecom Operators of Bangladesh (AMTOB) represented all the six cellular mobile phone operators of Bangladesh--Airtel, Banglalink, Citycell, Grameenphone, Robi and Teletalk.",2,0
5/3/2011 0:00,"Grameenphone Ltd reported Tk 20.6 billion revenues for the first quarter of 2011, a 21.3 per cent increase from first quarter of 2010.",5,1
6/2/2011 0:00,GrameenPhone with almost 44 per cent market share had achieved 34.826 per cent growth as it roped in 8.55 million new users over the year.,5,1
6/10/2011 0:00,"Total market capitalization of the DSE increased and stood at Tk 2,758.90 billion against Tk 2,745.92 billion in the previous session",4,1
6/24/2011 0:00,Grameenphone Ltd handed over a cheque of BDT 2.0 billion to the Chairman of the National Board of Revenue (NBR) as installment of advance tax for FY 2010-11 Wednesday.,2,0
6/24/2011 0:00,"LankaBangla Finance topped the turnover list with shares worth Tk 291.88 million changing hands. The other turnover leaders were UCBL, MI Cement, AB Bank, City Bank, ONE Bank, Square Pharma.",4,1
7/4/2011 0:00,"Mr. Tapan Chowdhury, a renowned industrialist, was unanimously elected as the Chairman of Pioneer Insurance Company Limited in the 158th Board Meeting held recently. Former Adviser of the Caretaker Government of Bangladesh, Mr. Chowdhury is the Managing Director of Square Pharmaceuticals, Square Textiles and Square Hospitals.",2,0
7/13/2011 0:00,"As part of a corporate social responsibility, Square is setting up a nursing institute where 50 nurses will be trained every year to meet the country's growing healthcare need.",4,1
7/15/2011 0:00,"G Tech, a sister concern of the renowned music label company G Series, is launching several music-related services through SMS and mobile phones via the short code 4878 for the first time in Bangladesh through GP.",4,1
7/16/2011 0:00,According to the data of Bangladesh Telecom Regulatory Commission (BTRC) mobile operator GrameenPhone led the market with 33.824 million cell phone customers.,5,1
9/13/2011 0:00,Four mobile phone operators would have to pay Tk 40 billion out of Tk 75.63 billion as the first installment by early November for the renewal of its 2G licence.,1,0
9/15/2011 0:00,The board of directors of Square Pharmaceuticals Ltd. has approved an agreement with Ms Beacon Pharmaceuticals Ltd. which fixes charges for manufacturing a product on behalf of Square Pharmaceuticals Ltd. to meet the demand of the product in the market.,4,1
9/16/2011 0:00,"Md Jamal Uddin The country's leading telecom operator Grameenphone (GP) would borrow Tk 11.02 billion (1,102 crore) from local banks to meet its financial need, industry sources said.",2,0
9/21/2011 0:00,"The parent organisation of Grameenphone (GP), had signed an agreement with Huawei, a leading technology-provider, for voice and IP network renovation in its 10 operating countries, including Bangladesh",3,1
9/21/2011 0:00,"As per the BTRC data released Tuesday, GrameenPhone Ltd (GP), the largest mobile service operator of the country, has 34.979 million subscribers",5,1
9/25/2011 0:00,"The programme titled 'Grameenphone-Prothom Alo Internet Utshob' has been planned for 100 days where students from around 1000 schools and colleges will participate, said Grameenphone Chief Communication Officer Kazi Monirul Kabir at a press conference Saturday",4,1
10/12/2011 0:00,"The Bangladesh Telecommunications Regulatory Commission (BTRC), however, had cautioned that time is running out for the operator to clear the regulator's Tk 30.34 billion dues and the GP must pay the amount by October 24.",1,0
10/14/2011 0:00,"The third and fourth class employees of GP carrying placard and banners in their hands took part in the programme from 7am to 5pm. Addressing the occasion, they alleged that service of about 1,500 employees, who were recruited through different tests as per rule.",3,1
11/4/2011 0:00,The High Court on October 26 stayed the effectiveness of a BTRC notice asking GP to pay an additional Tk 2.37 billion for the radio frequency in 1800 megahertz band.,1,0
11/6/2011 0:00,"The BTRC will renew 2G licence, said Mr Ahmed. Grameenphone (GP),the largest operator by the number of users and revenue, has paid off both spectrum charge and renewal fees on October 31. It has paid Tk 13.49 billion as spectrum charges out of almost Tk 15.88 billion.",4,1
11/27/2011 0:00,Square Pharmaceuticals Ltd won prizes in pharmaceutical sector.,5,1
12/13/2011 0:00,Square Pharmaceuticals Ltd received best corporate award under the pharmaceuticals category while Beximco Pharmaceuticals Ltd became second and GlaxoSmithKline Bangladesh Ltd third.,4,1
1/2/2012 0:00,"Licence renewal of four mobile operators--Grameenphone, Banglalink, Robi and Citycell has been postponed following a legal battle over tax issues.",1,0
1/17/2012 0:00,Hearing on the High Court rule on legality of notice issued by Bangladesh Telecommunication Regulatory Commission (BTRC) to Grameenphone (GP) for payment of spectrum assignment fee and renewal of its licence is set for hearing tomorrow.,2,0
1/19/2012 0:00,Hearing on the Bangladesh Telecommunication Regulatory Commission's (BTRC) notice served on Grameenphone (GP) for payment of spectrum assignment and licence renewal fees started Wednesday.,2,0
1/20/2012 0:00,"BTRC in a letter on October 17, 2011 demanded additional Tk about 2.37 billion from GP for spectrum assignment fee based on Market Competition Factor (MCF), which was allocated by BTRC to GP for 18 years in 2008. The telecom regulator also demanded payment of licence fee and spectrum fee for new assignments without any deduction of VAT and tax.Challenging the BTRC demand, GP filed a writ petition with the HC and the court on October 26, 2011 issued the rule upon BTRC to explain as to why its notice served on GP would not be declared illegal.",4,1
1/20/2012 0:00,Grameenphone Ltd and bKash jointly launched bKash mobile financial services for Grameenphone customers on recently at a city hotel.,5,1
2/2/2012 0:00,"Dhaka stocks witnessed yet another massive fall Wednesday maintaining its previous day's negative trend with the key index slipping more than six per cent. Grameenphone (GP) was the top turnover leader with shares worth Tk 144.69 million changed hands.
 The other turnover leaders were RN Spinning, Beximco Limited, SIBL, National Bank, United Airways, Beacon Pharma, Square Pharma, Fu-Wang Ceramics and BSRM Steels.",3,1
2/8/2012 0:00,"Grameenphone (GP), the country's largest telecom company, has recommended 65 per cent cash dividend for the year 2011. The company's board of directors took the decision at a meeting, held at its city office Tuesday. As per the announcement, the GP shareholders will get Tk 6.5 against each share of Tk 10.0. Earlier, the company disbursed 140 per cent interim cash dividend in 2011. The market price of the GP shares Tuesday went up by 5.85 per cent or Tk 8.90 to close at Tk 161.00 each.",3,1
2/8/2012 0:00,"BTRC submits audit report on GP to ACC. BTRC appointed a chartered accountancy firm to audit the functions of top mobile operator GP and it found the operator avoided a payment of Tk 30.34 billion in revenues since its inception. Of the amount, the operator owes Tk 21.465 billion to the BTRC and rest Tk 8.875 billion to the National Board of Revenue (NBR).",2,0
2/9/2012 0:00,"Grameenphone Ltd, country's largest mobile phone company reported BDT89.06 billion (8,906 crore) revenues for the year 2011, a 19.2 per cent increase from 2010.",4,1
2/10/2012 0:00,The High Court (HC) is likely to deliver its verdict on Monday regarding the issue of payment of spectrum assignment fee on Market Competition Factor (MCF) and value added tax (VAT) without deduction by Grameenphone (GP) to BTRC.,3,1
2/14/2012 0:00,"After losing legal battle against Grameenphone over 2G spectrum fees, the BTRC says the licence of Grameenphone will be renewed if it pays Tk 2.40 billion. The HC bench of justices Farid Ahmed and Sheikh Hasan Arif rejected claim for an extra Tk 2.36 billion in spectrum fees levied in 2008. It said the BTRC, was, however right in asking for the spectrum fees, excluding tax at source, and licence renewal fees.",4,1
3/2/2012 0:00,"The full judgment, recently delivered by the High Court regarding the issue of Grameenphone (GP)'s spectrum assignment and licence renewal fees and VAT, has been published and the telecom operator has filed a leave-to-appeal petition against it (verdict).",3,1
3/19/2012 0:00,"The country's private commercial banks (PCBs) are the major contributors to the volume of corporate tax as they are nine in number among the ten highest income tax payers, while Grameenphone is in the top position.",5,1
3/21/2012 0:00,The leave-to-appeal filed by Grameenphone (GP) against a High Court judgment on the issue of GP's spectrum assignment and licence renewal fees and VAT is now at the full bench of the Appellate Division of the Supreme Court.,3,1
3/26/2012 0:00,"Grameenphone (GP), a leading telecom operator out of six market players, has ensured 36.997 million subscribers adding 0.504 million new in January, which was 36.493 million in December 2011.",4,1
4/11/2012 0:00,The 15th Annual General Meeting (AGM) of Grameenphone Ltd was held at the Bangabandhu International Convention Center (BICC) in the city Tuesday.,3,1
4/13/2012 0:00,"Hearing on the leave-to-appeal filed by Grameenphone (GP) against a High Court judgment regarding spectrum assignment and licence renewal fees and VAT started at the full bench of the Appellate Division of the Supreme Court Thursday, sources said.",3,1
4/17/2012 0:00,"Grameenphone (GP), the country's biggest operator by subscribers with 42 per cent market share, added highest 0.354 million new customers totaling 37.351 million, which was 36.997 million in January.",4,1
4/21/2012 0:00,"Launching of third generation (3G) cell phone service in Bangladesh by this year has almost become a far cry as the activities of the authorities concerned in this connection are going on at a snail's pace, stakeholders said.",2,0
4/24/2012 0:00,Dutch-Bangla Bank Ltd (DBBL) formally signed an agreement with Grameenphone Ltd to provide Mobile Banking Services to its customers recently in the city.,4,1
